2501,David Caldwell,5000
106,George Molina,5000
3405,Andrea Miller,5000
4693,Antonio Powers,5000
311,Shane Ross,5000
97,Christopher Ortega,5000
4562,Jesse Moreno,5000
3037,Joshua Edwards,5000
94,Willie Hill,5000
3650,James Wall,5000
3705,Maureen Whitaker,5000
2457,Amy Johnson,5000
1982,Brandy Quinn,5000
2468,Brooke Thompson,5000
4344,Jason Armstrong,5000
2274,Alexandria Campbell,5000
2508,Valerie Ball,5000
4207,Lisa Gibbs,5000
2845,David Donovan DDS,5000
2511,Joseph Martinez,5000
3051,Maria Montoya,5000
584,Veronica Smith PhD,5000
3628,Stephanie Turner,5000
2821,Julia Ruiz,5000
2036,Glenn Arroyo,5000
3194,Teresa Reeves,5000
3466,Larry King,5000
4526,Karen Wilkerson,5000
2574,Charles Owens,5000
4971,Keith Morris,5000
3369,Katherine Randall,5000
4092,Alicia Garcia,5000
1821,Mark Frey,5000
148,Angel Proctor,5000
346,John Hays,5000
359,Javier Bennett,5000
4262,Brian Mcmahon,5000
984,Craig Campbell,5000
3307,Tiffany Ortiz,5000
1772,Tracy Odom,5000
2337,Bill Cabrera,5000
138,Amanda Lamb,5000
4077,William Wells,5000
680,Cody Green,5000
679,Austin Murphy,5000
4010,Jessica White,5000
1043,Mary Miller,5000
3818,Laura Buchanan,5000
670,Jill Nelson,5000
2369,Jennifer Williamson,5000
4305,Madison Terry,5000
123,Thomas Montgomery,5000
1920,Julie Gay,5000
330,Victoria Smith,5000
1923,Lori Fields,5000
4863,Megan Hughes,5000
384,Sara Lewis,5000
1686,Gilbert Gentry,5000
1082,Nicholas Brandt,5000
4667,Joseph Hobbs,5000
4813,Jose Jackson,5000
3947,Matthew Johnson,5000
3936,Joyce Wilson,5000
2185,Jessica Thomas,5000
1200,Sheila Fields,5000
1207,Edward Richardson,5000
1250,Sandra Cochran,5000
4799,Robert Williams,5000
2777,Nancy Murray,5000
1210,Zachary Boyle,5000
1212,Melanie Sanchez,5000
