empID,Name,Salary
9991,Robert Fields,150000
9939,Patricia Walton,150000
988,Jessica Stanley,150000
9874,Amber Ford,150000
986,George Terrell,150000
982,Matthew Fisher,150000
980,Loretta Massey,150000
9726,Alyssa Brown,150000
967,Ryan Garcia,150000
9591,Laura Holland,150000
9562,Casey Cox,150000
9477,Madeline Joseph,150000
9434,Maria Anderson,150000
9408,Tina Baker,150000
9356,April Larson,150000
9262,Frank Cervantes,150000
9228,Mercedes Avila,150000
911,Mary Fernandez,150000
9101,Melanie Tran,150000
9081,Sabrina Taylor,150000
9076,Jason Vazquez,150000
9048,Heidi Shaw,150000
9018,Candace Bradley,150000
8968,Joseph Frost,150000
8946,Donna Bowman,150000
8884,Jessica Horn,150000
8847,Jamie Garza,150000
8767,Christina Johnson,150000
8755,Kimberly Abbott,150000
8696,Ethan Armstrong,150000
8655,James Hines,150000
8601,Christine Vasquez,150000
8488,Rachel Curtis,150000
8462,Carmen Diaz,150000
8453,Joseph Macdonald,150000
8440,Alejandra Herring,150000
8424,Alisha Bennett,150000
8375,Maria Wilson,150000
8178,Sarah Sexton,150000
8164,Linda Duke,150000
8161,Lauren Turner,150000
8117,Rebecca Schultz,150000
7992,Cory Perez,150000
7946,Steven Zimmerman,150000
7931,Jason Diaz,150000
7926,John Stephenson,150000
7903,Christine Smith,150000
7874,Kevin Campbell,150000
7859,Daniel Conner,150000
7794,Darren Murphy,150000
7787,Angela Buchanan,150000
7756,Anthony Downs,150000
771,Susan Thornton,150000
7680,Justin Rodriguez,150000
7572,Samantha Parsons,150000
7519,Alexander Warner,150000
7489,Stacy Gibson,150000
7456,Adam Pennington,150000
7278,Jessica Perez,150000
7219,William Johnson,150000
7139,Brittany Foster,150000
7117,Duane Olsen,150000
7091,James Fitzpatrick,150000
7078,Noah Yang,150000
7031,Kathryn Lewis,150000
6953,Joshua Watson,150000
6951,Lisa Palmer,150000
6927,Kerry Rodriguez,150000
6774,David Hunter,150000
6660,Bruce Wise,150000
665,Robert Aguilar,150000
654,Monique Harvey,150000
6527,Christopher Brown,150000
6499,Amy Williams MD,150000
6455,Christopher Mayer,150000
6454,Joshua Garrett,150000
6401,Juan Yates,150000
6400,Krystal Nichols,150000
639,Briana Glass,150000
6296,Edward Green,150000
617,Dana Moore,150000
6155,James Baxter,150000
5935,Mark Wilson,150000
5885,Jasmine Guerra,150000
582,Erica Fuentes,150000
5806,Melissa Turner,150000
5624,Dr. Craig Smith,150000
5546,Larry Gomez,150000
5510,Michael Guzman,150000
550,Caroline Cole,150000
5450,Cynthia Ochoa,150000
5261,Donald Koch,150000
5074,Christopher Richardson,150000
4995,Steve Weiss,150000
4984,Emily Mitchell,150000
4978,Bruce Camacho,150000
4942,Douglas Anderson,150000
4922,Jeremiah Greene,150000
4831,Susan Haney,150000
