empID,Name,Salary
1026,Matthew Rivas,5000
1078,Richard Wilson,5000
116,Amy Williams,5000
1176,Bonnie Miller DVM,5000
1211,Daniel Davis,5000
1226,Robert Jackson,5000
1239,Matthew Ford,5000
1257,Darrell Dickson,5000
127,Michael Cobb,5000
1305,Tonya Monroe,5000
1353,Wanda Hart,5000
1359,Arthur Simpson,5000
1374,Nicholas Spears,5000
1387,Mr. Justin Johnson,5000
1446,James Mccall,5000
1465,Stephen Murphy,5000
1626,Michael Mccarthy,5000
1669,Christina Gonzalez,5000
1675,Danielle White,5000
1692,Lisa Robinson,5000
1976,Alicia Cordova,5000
2012,Julie Costa,5000
2020,Kathy Neal,5000
2042,Matthew Watts,5000
2055,Sarah Li,5000
2096,Brendan Dudley,5000
2161,David Taylor,5000
2185,Christopher Johnston,5000
23,Michael Mitchell,5000
233,Dillon Morris,5000
2406,Stacy Luna,5000
241,Ricky Floyd,5000
2513,Samantha Hernandez MD,5000
259,Scott Washington,5000
264,Deborah Bell,5000
2646,Stephanie Stevenson,5000
2670,Dr. William Anderson,5000
2681,Julie Swanson,5000
2879,Jennifer Barnett,5000
2916,Jeffrey Cuevas,5000
2925,Tina Burnett,5000
2933,Michael Bates,5000
296,Ryan Cameron,5000
2972,Russell Cox,5000
3004,Donna Lopez,5000
3010,Jerry Nguyen,5000
3124,Rachel Gibson,5000
322,Brandon Graham,5000
3316,Frank Blevins,5000
3317,Brenda Maldonado,5000
3379,Rebecca Gregory,5000
3412,Gary Garcia,5000
342,Dustin Baker,5000
3489,George Cabrera,5000
3490,Laura Peterson,5000
3548,Micheal Miller,5000
3575,Tanya Fernandez,5000
3605,Craig Bell,5000
3621,Brandy Brown,5000
3670,Johnny Smith,5000
3718,Michael Palmer,5000
3756,Lynn Winters,5000
3845,Christopher Ritter,5000
3861,Jennifer Torres,5000
4007,Mary Williams MD,5000
4056,Carla Garcia,5000
4181,Danielle Reed,5000
4218,Willie Mcguire,5000
4244,Joseph Brown,5000
4283,Richard Lamb,5000
4322,Kathryn Davis,5000
4386,Brenda Howe,5000
444,Louis Bowen,5000
4522,Isaac Rowe,5000
4529,Benjamin Evans,5000
4547,Paul Mora,5000
4591,Carl Lopez,5000
4704,Jessica Conley,5000
4729,Daniel Smith,5000
4879,Ashley Frye,5000
4889,Calvin Black,5000
4957,Linda Gilbert,5000
539,Michelle Wheeler,5000
592,James Baldwin,5000
596,Michael Parker,5000
659,Jonathan Robinson,5000
708,Michael Rodriguez,5000
751,Kenneth Sloan,5000
809,Mitchell Wilson,5000
816,Amanda Abbott,5000
82,Kristine Dawson,5000
884,Kimberly Phillips,5000
885,Tiffany Anderson,5000
996,Jason Campbell,5000
1025,Mr. Joshua Adams,10000
1070,Jose Montgomery,10000
1187,Logan Curtis,10000
1192,Stephanie Lewis,10000
1274,Lindsey Duarte,10000
1285,Ashley James,10000
1297,Sonia Williams,10000
1398,Susan Owens,10000
1566,Mr. Daniel Prince V,10000
1567,Jose Morris,10000
1608,Emily Orozco,10000
1609,Deborah Lynch,10000
1611,Edwin Mora,10000
166,Dawn Ramos,10000
175,Charles Kennedy,10000
1897,Joshua Hughes,10000
1934,Curtis Brown,10000
1982,Jordan Rogers,10000
1987,Erin Salazar,10000
2078,Russell Pierce,10000
2092,Linda Mitchell,10000
2163,Kimberly Dean,10000
2221,Rickey Burton,10000
2291,Renee Howard,10000
2397,Cassandra Payne,10000
2400,Kaitlin Rodriguez,10000
2449,Anthony Stevens,10000
25,Donald Smith,10000
2512,Roger Santana,10000
2665,Brian Malone,10000
2710,Ryan Odom,10000
2799,Caleb Reed,10000
2804,Hannah Hill,10000
2858,Natasha Perkins,10000
2963,Caitlin Harrison,10000
2985,Catherine Williams,10000
31,Dominique Garcia,10000
3220,Casey Medina,10000
3263,Peter Jones,10000
3283,Joan Cunningham,10000
3315,Robert Romero,10000
3392,Jamie Love,10000
3459,Tracy Brown,10000
3494,Bobby Ruiz,10000
3571,Lindsay Lopez,10000
3589,Meghan Tyler,10000
3606,Kathryn Jones,10000
3671,Robert Brown,10000
3726,Terri Roberts,10000
3750,Jason Duncan,10000
3753,Noah Campbell,10000
3876,Thomas Nichols,10000
3892,David Levine,10000
39,Ivan Nguyen,10000
3900,Christina Noble,10000
3911,Evelyn Watkins,10000
3921,Ebony White,10000
3934,Jacob Stanton,10000
3986,Eugene Bender,10000
4044,Brittany Edwards,10000
4068,Becky Scott,10000
4167,Christian Burns,10000
4212,Renee Miller,10000
4241,Maria Boyd,10000
4310,Jackie Watkins,10000
4350,Megan Chavez,10000
4471,Jack Cunningham,10000
4526,Deborah Jones,10000
4602,Jeremy Mayer,10000
463,Karen Miles,10000
4671,Zachary Powers,10000
4719,Randall Mullins,10000
4734,Mary Taylor,10000
4753,Sharon Morales,10000
4806,Shelby Williams,10000
4827,Joshua Strong,10000
4856,Hannah Dixon,10000
4935,Erika Evans,10000
4986,Diane Rivera,10000
510,Tammy Moore,10000
521,Joy Wilson,10000
67,David Nolan,10000
693,Deborah Moore DDS,10000
704,John Anthony,10000
720,Alicia Smith,10000
746,Eric Everett,10000
973,Miguel Hernandez,10000
977,Jack Fritz,10000
1082,Robert Bean,12000
1113,Michael Smith,12000
1143,Timothy White,12000
1153,David Howard,12000
1160,Kevin Briggs,12000
1240,Robert Rodriguez,12000
1311,Stephen Myers,12000
1327,Crystal Anderson,12000
1399,Jose Perez,12000
1421,Amber Cook,12000
1438,Chelsea Martinez,12000
1444,Lisa Warner,12000
148,Michael James,12000
1524,Tracey Miller,12000
1560,Samantha Roach,12000
1641,Marc Mcpherson,12000
1747,Marilyn Solomon,12000
1969,John Gibbs,12000
1974,Valerie Larsen,12000
2056,Angela Greer,12000
2066,Danny Woodward,12000
2119,Scott Colon,12000
2187,Traci Mason,12000
2198,Brianna Snyder,12000
2237,Katherine Anderson,12000
2352,Shane Watson,12000
2382,Mary Haynes,12000
2384,Rebecca Moreno,12000
239,Richard Rogers,12000
2430,Mark Smith,12000
2555,Nathan Castro,12000
2558,Anna Hernandez,12000
2677,Bryan Lucas,12000
2683,Patrick Smith,12000
2707,Robert Lee,12000
2719,Bryan Wheeler,12000
2721,Pamela Mahoney,12000
2736,Elizabeth Calderon,12000
2749,Casey Snyder,12000
275,Carrie Contreras,12000
2784,Jenna Alexander,12000
2828,Lindsay Chase,12000
2882,Nicole Bell,12000
2887,Stephanie Davis,12000
2894,Cynthia Donovan,12000
2976,Wayne Jones,12000
3008,William Washington,12000
3030,Karen Fox MD,12000
3034,Amanda Barrera,12000
3102,Wendy Marshall,12000
