empID,Name,Salary
0,Tiffany Smith,91738
1,Thomas Hawkins,56642
2,Alexandra Walker,40000
3,Richard Mooney,130000
4,Brenda Thompson,90000
5,John Peterson,39343
6,Amber Jones,130000
7,Jennifer Davis,83000
8,Selena Woods,83000
9,William Evans,39891
10,Ryan Jones,91738
11,Ronald Campbell,81363
12,Tyler Briggs,30000
13,Joshua Stevens,55000
14,Daniel Krause,63218
15,Luis Aguilar,67938
16,Marissa Farmer,80000
17,Evan Brown,93940
18,Mr. Dalton Murphy,121872
19,Christopher Bowman,43525
20,Mr. Michael Reid,101302
21,Lisa Fuller,113812
22,Catherine Jones,150000
23,Christopher Ramirez,85000
24,Aaron Collins,20000
25,Brady Hodge,55794
26,Donald Nguyen MD,55794
27,Jason Watts,120000
28,Patrick Chavez,66029
29,Carol Rodriguez,40000
30,John Ramos,85000
31,Gregory Thompson,30000
32,Jason Smith,121872
33,Tammy Fletcher,93940
34,Stacey Bryant,57189
35,Kimberly Adams,100000
36,Julia Trujillo,80000
37,Eric Garrison,90000
38,Nancy Santos,57081
39,Paige Wells,40000
40,Jonathan Lawrence,98273
41,Andrew Mcmahon,91738
42,John Trujillo,72000
43,Rachel Hayes,56957
44,Carla Davis,150000
45,Kyle Wheeler,10000
46,Matthew Murphy,81363
47,Jack Atkinson DDS,61111
48,Christian Brown,67938
49,Edward Vang,43525
50,Edward Miller,105582
51,Jack Johnson,63218
52,Maureen Chavez,101302
53,Cathy Riley,60000
54,Dr. Michelle Caldwell DDS,80000
55,Heather White,5000
56,Chelsea Holloway,80000
57,Jason Wood,90000
58,Leslie Walker,30000
59,Raymond Kelly,72000
60,Christine Johnson,55794
61,Carrie Barker,66029
62,Andrew Garrett,63218
63,Zachary Harrington,50000
64,Anna Henderson,39891
65,Raymond Wolfe,83088
66,Eric Johnson,39891
67,Lori Green,113812
68,Andrew Hart,5000
69,Amanda Park,20000
70,Samuel Duncan,140000
71,Stephanie Mendez,66029
72,Calvin Vang,101302
73,Austin Fox,67938
74,Gregory Carter,37731
75,Amy Harris,130000
76,Sydney Hall,5000
77,Jason Young,85000
78,Donald Contreras,30000
79,Lori Lopez,61111
80,Elizabeth Hudson,40000
81,George Roy,93940
82,Jason Black,60000
83,Nicole Brown,116969
84,Veronica Harrison,91738
85,Daisy Kennedy,37731
86,John Alvarez,140000
87,Natalie Howell,140000
88,Amanda Ellis,64445
89,Annette Reese,55794
90,Karen Duncan,60150
91,Michelle Barton,50000
92,Meagan Wolfe,46205
93,Lauren Wells,56642
94,Nancy Russell,112635
95,Phyllis Hudson,116969
96,Steven Martinez,10000
97,Michael Ramirez,105582
98,Rebecca Fuller,140000
99,Paul Washington,93940
100,Christy Fisher,122391
101,Deanna Newman,80000
102,Chris Quinn,60000
103,Thomas Hays,90000
104,Teresa Washington,50000
105,Steven Rodriguez,63218
106,Alan Flores,12000
107,Stephanie Reeves,56957
108,Edward Gibson,60150
109,Daniel Lucas,70000
110,Ebony Webb DVM,37731
111,Kimberly Harris,91738
112,Mark Villanueva,43525
113,James Miller,63218
114,Brett Stevens,121872
115,Natalie Rodriguez,101302
116,Daniel Knapp,60000
117,Stacy Kelly,109431
118,Andrea Ramirez,24000
119,Jorge Cook,60150
120,Emily Horton,46205
121,Theresa Farmer,56957
122,Anthony Walker,5000
123,Casey Robinson,105582
124,William Mcknight,61111
125,Rachel Baker,12000
126,Lisa Barnett,54445
127,Mrs. Brittany Burnett,60000
128,Ryan Turner,130000
129,Gerald Henry,113812
130,Andrea Sanchez,93940
131,Dennis White,39891
132,Thomas Lee,140000
133,Jonathan Thompson,63218
134,Vanessa Rollins,100000
135,Crystal Lewis,120000
136,David Sanders,60150
137,Zachary Sosa,57189
138,Connie White,55000
139,Joshua Barron,39343
140,Briana Brown,39343
141,Karen Santiago,37731
142,Jennifer Johnson,12000
143,Connor Miller,55794
144,Dr. Jerry Ross,100000
145,Claudia Martinez,130000
