5555,Dr. Roger Rowe,5000
5815,Jacob Bartlett,5000
5807,David Taylor,5000
5785,Diana Snyder,5000
5770,Jennifer Taylor,5000
5632,April Mcdaniel,5000
5589,John Johnston,5000
5585,Katrina Wolfe,5000
5574,Nicholas Spence,5000
5572,Brandon Jackson,5000
589,Paula Harvey,5000
5543,Bradley Molina,5000
5478,Mary Smith,5000
5430,Travis Murphy,5000
5401,Caitlin Taylor,5000
5391,Suzanne Glass,5000
5383,Mindy Tran,5000
5366,Mark Smith,5000
5235,Samantha Neal,5000
6591,Robert Ross,5000
7107,Randy Barker,5000
7022,Stephen Mcintosh,5000
6971,James Gray,5000
6843,Kelsey Bush,5000
6799,Cory Rogers,5000
6741,Michelle Wright,5000
6737,Monica Rivera,5000
6704,Tina Bailey,5000
6615,Vincent Brown,5000
5187,Molly Phillips,5000
6563,Rick Ellis,5000
6492,Kimberly Blair,5000
6261,John Anderson,5000
6218,Kylie Clayton,5000
6205,Michael George,5000
6187,Ashley Young,5000
5986,Jason Murphy,5000
5918,Deborah Rodriguez,5000
3505,Karen Johnson,5000
3957,Anthony Wheeler,5000
3902,Kayla Vega,5000
3896,Melissa Whitehead,5000
388,Erica Hunt,5000
386,Heather Townsend,5000
3838,Patricia Thomas,5000
3732,Jordan Owens,5000
3691,David Parker,5000
3608,Gina Clark,5000
3963,Benjamin Henderson,5000
3397,Savannah Martin,5000
3394,Denise Olson,5000
3392,Elizabeth Chen,5000
3377,Meghan Key,5000
3266,Donald Wood,5000
3184,Joseph Mckenzie,5000
3164,Jacob White,5000
3061,Margaret Foster,5000
4473,Stephanie Fuller,5000
5152,Johnathan Walker,5000
5071,Anna Taylor,5000
4891,Rebecca Mosley,5000
4864,Thomas Glass,5000
4836,Micheal Mays,5000
4820,Steven Wilkins,5000
4645,Alexander Padilla,5000
455,Paul Garcia,5000
452,James Davis,5000
714,Matthew Robinson,5000
44,Jennifer Taylor,5000
4295,Christina Miller,5000
4287,Annette Hill,5000
4272,Donna Strong,5000
423,Courtney Burns,5000
4182,Richard Barker,5000
4159,Zachary Anderson,5000
3987,Angela Torres,5000
9023,Michael Keller,5000
934,Norman Garcia,5000
9316,James Walker,5000
9263,Christopher Price,5000
9255,Zachary Prince,5000
9178,Michael Gilbert,5000
9114,Marissa Bauer,5000
9108,Lucas Duncan,5000
9089,Gina Rodriguez,5000
9026,Amanda Malone,5000
9368,Joseph Murphy,5000
8984,Jennifer Brown,5000
8955,Rebecca Thomas,5000
8915,Brian Roach,5000
8898,Matthew Gordon,5000
8865,Joseph Odonnell,5000
8803,Rebecca Martinez,5000
8751,Michael Garrison,5000
875,Matthew Baker,5000
9626,Sharon Alvarado,5000
9947,Julian Mcdowell,5000
9939,Ashley Gilbert,5000
9930,Emily Holmes,5000
9923,Amy Baxter,5000
9886,Jeffrey Ayers,5000
9835,Carol Stewart,5000
9827,Michael Costa,5000
9711,Dorothy Thomas,5000
97,Jacob Blair,5000
8724,Javier Carr,5000
9560,Timothy Edwards,5000
955,Vickie Brown,5000
9532,Tina West MD,5000
952,Joe Kennedy,5000
9490,Sandra Christensen,5000
944,Beth Davis,5000
9428,Brandi Woodard,5000
9374,Gregory Brown,5000
7481,Justin Joyce,5000
8006,Rachel Pearson,5000
7925,John Ross,5000
7846,Donna Howell,5000
777,Kyle Green,5000
7580,William Robles,5000
7542,Susan Watson,5000
7539,Michael Norris,5000
